ID,Start time,Completion time,Email,Gender,Age,Closest biggest city near you,Number of kids (<18y) living with you,Birth Year,Number of modules completed so far,Average mark so far,Prediction for this module's mark,I enjoy working with data,I am excited about working with data,I am afraid of working with data,I am interested in understanding Data Analytics,I plan to work hard in this module,"Height (absolute value, in centimeters (cm) - sorry imperial system users!)",Height (relative)
96,1/5/21 02:17,1/5/21 02:20,anonymous,Woman,50-59,Shanghai,0,1969,3,63,63,Completely Agree,Completely Agree,Completely Disagree,Completely Agree,Completely Agree,165,average
97,1/5/21 04:13,1/5/21 04:15,anonymous,Man,40-49,Singapore,1,1978,1,78,75,Completely Agree,Completely Agree,Completely Disagree,Completely Agree,Completely Agree,190,tall
98,1/5/21 04:47,1/5/21 04:50,anonymous,Woman,50-59,Ho Chi Minh City,3,1970,3,68,60,Meh,Meh,Agree,Completely Agree,Completely Agree,173,tall
99,1/5/21 10:50,1/5/21 10:56,anonymous,Woman,20-29,London,0,1992,none,,75,Agree,Agree,Agree,Completely Agree,Completely Agree,155,average
100,1/5/21 11:25,1/5/21 11:28,anonymous,Woman,40-49,Zurich,0,1971,3,62,55,Agree,Agree,Meh,Completely Agree,Completely Agree,178,tall
101,1/5/21 11:42,1/5/21 11:43,anonymous,Man,40-49,Brindisi,2,1975,1,5,7,Completely Agree,Completely Agree,Completely Disagree,Completely Agree,Agree,169,short
102,1/5/21 14:54,1/5/21 14:56,anonymous,Man,40-49,Toronto,3,1976,3,69,75,Agree,Agree,Completely Disagree,Completely Agree,Completely Agree,186,tall
103,1/6/21 18:49,1/6/21 18:52,anonymous,Man,30-39,Basel,1,1982,2,66,75,Agree,Meh,Disagree,Completely Agree,Agree,187,tall
104,1/7/21 11:14,1/7/21 11:18,anonymous,Man,30-39,Bandundu,1,1988,2,67,72,Agree,Agree,Completely Agree,Completely Agree,Completely Agree,184,tall
105,1/7/21 15:46,1/7/21 15:49,anonymous,Man,30-39,Abuja,0,1987,1,25,95,Completely Agree,Completely Agree,Completely Disagree,Completely Agree,Completely Agree,187,tall
106,1/8/21 04:08,1/8/21 04:10,anonymous,Man,40-49,Hong Kong,0,1980,3,60,70,Completely Agree,Completely Agree,Disagree,Completely Agree,Completely Agree,189,tall
107,1/9/21 00:54,1/9/21 00:57,anonymous,Man,40-49,Montreal,3,1975,1,78,75,Agree,Completely Agree,Completely Disagree,Completely Agree,Completely Agree,184,tall
108,1/9/21 14:19,1/9/21 14:20,anonymous,Man,50-59,"Zurich, Switzerland",0,1964,5,60,75,Agree,Completely Agree,Completely Disagree,Agree,Completely Agree,186,tall
109,1/11/21 11:47,1/11/21 11:48,anonymous,Woman,40-49,Berlin,1,1978,3,70,70,Agree,Agree,Completely Disagree,Completely Agree,Completely Agree,166,average
110,1/11/21 15:30,1/11/21 15:35,anonymous,Woman,40-49,Lusaka,5,1976,5,56,60,Agree,Agree,Disagree,Agree,Agree,160,average
111,1/12/21 06:12,1/12/21 06:16,anonymous,Woman,40-49,Riyadh,0,1976,5,69,71,Agree,Completely Agree,Completely Disagree,Completely Agree,Completely Agree,171,tall
